frametime, crtcoll, drawtime, crtupdate 
2.8107,2.1536,0.6148,0.0308
2.8738,2.1841,0.6473,0.0305
2.9613,2.3037,0.6144,0.0317
3.0638,2.3832,0.6382,0.0307
2.8867,2.2267,0.6179,0.0303
3.0874,2.4084,0.6368,0.0306
2.8085,2.1524,0.6145,0.0302
2.8192,2.1403,0.6369,0.0305
2.882,2.218,0.6209,0.0307
2.9875,2.238,0.6352,0.0323
3.0383,2.3642,0.6246,0.0323
3.0102,2.3247,0.6402,0.0325
2.8231,2.1639,0.6157,0.0322
2.9446,2.2492,0.6467,0.0307
3.0069,2.3331,0.6292,0.032
2.8956,2.2053,0.646,0.0319
2.9277,2.2692,0.6163,0.0307
2.9865,2.3217,0.6231,0.0302
2.8731,2.2043,0.6263,0.0306
2.7913,2.1153,0.6334,0.0312
2.8925,2.2293,0.6212,0.0301
3.0283,2.3477,0.6381,0.031
2.7774,2.1184,0.6161,0.0314
2.8215,2.1442,0.6344,0.0313
2.8921,2.2129,0.6342,0.0303
3.1229,2.4189,0.6456,0.0344
2.8964,2.2245,0.628,0.032
2.908,2.2228,0.6413,0.0323
3.0679,2.3978,0.6259,0.0325
2.8869,2.1988,0.6455,0.0309
2.9334,2.2579,0.6321,0.0314
2.984,2.2813,0.6579,0.0329
3.0379,2.3679,0.6276,0.0307
3.0375,2.3501,0.6449,0.0307
3.0382,2.3678,0.6271,0.0317
2.8678,2.1773,0.6465,0.0306
2.9153,2.2558,0.6165,0.0316
2.8474,2.1665,0.6382,0.0312
2.7966,2.1372,0.6165,0.0313
2.9196,2.2345,0.6425,0.0309
2.8392,2.1834,0.6138,0.0305
2.9232,2.235,0.6465,0.0303
2.8857,2.2279,0.6155,0.0307
2.8107,2.1486,0.6207,0.0301
2.9812,2.3252,0.6147,0.0301
2.8539,2.1651,0.647,0.0303
3.0314,2.2745,0.622,0.0303
2.8249,2.1335,0.6358,0.0367
2.8027,2.1447,0.6141,0.0316
2.9371,2.188,0.6663,0.0325
2.8508,2.1908,0.6169,0.031
2.8888,2.195,0.651,0.031
2.9384,2.2777,0.6188,0.0304
2.8661,2.1912,0.6327,0.0307
2.8697,2.2048,0.6218,0.0311
2.933,2.2552,0.6343,0.0321
3.0417,2.3844,0.6151,0.0306
2.9563,2.2941,0.6202,0.0305
2.8025,2.1471,0.6133,0.0304
2.8512,2.1732,0.636,0.0307
2.8658,2.2042,0.6193,0.0307
3.1058,2.4247,0.6385,0.0308
2.8805,2.1993,0.6361,0.0312
3.0655,2.3642,0.6532,0.0336
3.0244,2.3361,0.6277,0.0323
2.9811,2.2837,0.6502,0.0336
2.9067,2.2339,0.6277,0.0324
3.0868,2.3973,0.6468,0.0308
2.9211,2.2484,0.6284,0.0317
3.0634,2.3725,0.6478,0.0312
2.8626,2.1946,0.6245,0.0316
3.0395,2.3361,0.6594,0.0319
2.8489,2.1765,0.6287,0.0317
3.0413,2.3617,0.6351,0.0319
2.9009,2.2287,0.6288,0.0311
2.9898,2.2911,0.6559,0.031
2.8949,2.2263,0.6256,0.0313
3.0044,2.3212,0.64,0.0315
3.0313,2.3492,0.6333,0.0313
3.0612,2.3482,0.6598,0.0342
2.9138,2.2383,0.6275,0.0342
3.1386,2.4429,0.6519,0.0317
2.8531,2.1838,0.6256,0.0314
2.9699,2.2804,0.6421,0.0327
2.914,2.2413,0.6264,0.0338
2.9488,2.2514,0.654,0.0312
2.9024,2.2324,0.6262,0.0316
2.8913,2.2003,0.6482,0.031
3.0298,2.3587,0.6281,0.0308
3.0879,2.3869,0.6576,0.0315
2.9656,2.2933,0.6296,0.0311
2.9373,2.2586,0.6361,0.031
2.9763,2.3062,0.6264,0.0321
2.9099,2.2209,0.6464,0.0311
2.9803,2.3105,0.6266,0.0311
3.0197,2.3324,0.6434,0.0313
2.8919,2.2199,0.6288,0.0312
2.9755,2.2685,0.6638,0.0314
2.877,2.2074,0.6256,0.0324
2.998,2.3128,0.6426,0.0306
2.9158,2.2465,0.626,0.0317
2.9144,2.2377,0.6334,0.0314
2.8437,2.1865,0.6142,0.0316
2.8924,2.2247,0.6258,0.0302
2.919,2.262,0.6135,0.0319
2.8124,2.146,0.6244,0.0305
3.2094,2.5533,0.6144,0.0303
2.9303,2.2446,0.6431,0.0312
2.9068,2.2499,0.614,0.0316
2.8779,2.1888,0.646,0.0313
2.823,2.1617,0.6187,0.031
2.9468,2.2677,0.6367,0.0308
3.0399,2.3798,0.6182,0.0304
2.9542,2.2783,0.6339,0.0305
2.8449,2.1857,0.616,0.0317
2.8828,2.1904,0.6499,0.031
2.878,2.2214,0.6137,0.0297
2.8725,2.1854,0.6446,0.0312
2.8451,2.1864,0.6149,0.0313
2.8953,2.2084,0.6451,0.0304
2.8497,2.1938,0.6129,0.0314
2.9361,2.254,0.6401,0.0306
2.8425,2.1862,0.6133,0.0318
2.9019,2.2206,0.6396,0.0304
2.8085,2.1334,0.6154,0.0482
2.8678,2.2031,0.6224,0.0307
2.9137,2.2528,0.6183,0.0307
3.0224,2.3439,0.6361,0.0304
2.914,2.2572,0.6143,0.0303
2.842,2.164,0.6356,0.0308
2.8109,2.1563,0.6128,0.0304
2.9428,2.2545,0.6458,0.0311
2.9218,2.2644,0.615,0.0305
2.8037,2.1423,0.6192,0.0307
3.1625,2.5056,0.6147,0.0305
2.8534,2.1879,0.6231,0.0309
2.8437,2.1876,0.6146,0.0303
2.8555,2.1822,0.6319,0.0302
2.8897,2.2353,0.6124,0.0306
2.8867,2.2061,0.6386,0.0305
2.8332,2.1771,0.6146,0.0301
3.0142,2.3508,0.6216,0.0302
2.9866,2.3303,0.6143,0.0304
2.9087,2.2312,0.6355,0.0307
2.9132,2.2611,0.6101,0.0304
2.8824,2.2055,0.6352,0.0304
